,Unnamed: 0,palabra,tamanyo,threshold,distancia,trie,tiempo,media_trie-distancia,mediana_trie-distancia
167,167,senor,35000,4,i,No,1.2439371769999923,1.4589868255714364,1.2439371769999923
168,168,senor,35000,5,i,No,1.1586338559999945,1.43326215171428,1.1754543229999967
169,169,senor,35000,7,i,No,1.226543595999999,1.4962867612857178,1.226543595999999
170,170,senor,35000,1,d,No,1.1702705659999992,1.2142586091428496,1.0005420479999998
171,171,senor,35000,2,d,No,1.1621159860000034,1.3365794704285747,1.1621159860000034
172,172,senor,35000,4,d,No,1.1405847940000058,1.394241384857141,1.175630167999998
173,173,senor,35000,5,d,No,1.134537899999998,1.3934614190000028,1.1785114990000238
174,174,senor,35000,7,d,No,1.2584566780000015,1.3955472245714264,1.2584566780000015
175,175,senor,35000,1,l,No,1.179880495000006,1.1933287010000027,0.9926454219999812
176,176,senor,35000,2,l,No,1.1420249920000032,1.326110941857144,1.182117204000008
177,177,senor,35000,4,l,No,1.0998357539999972,1.375615321428569,1.1861220050000156
178,178,senor,35000,5,l,No,1.1100284789999932,1.3870824007142843,1.1802415390000078
179,179,senor,35000,7,l,No,1.159362774999991,1.3823574504285818,1.1787221800000225
180,180,constitución,2500,1,i,Yes,0.0510100380000011,0.04691548528570623,0.0455435519999696
181,181,constitución,2500,2,i,Yes,0.0523882350000093,0.05709684085714527,0.0548465460000215
182,182,constitución,2500,4,i,Yes,0.0540709329999913,0.16203181699999905,0.1814783129999999
183,183,constitución,2500,5,i,Yes,0.0622361169999976,0.2360728418571448,0.2672445250000237
184,184,constitución,2500,7,i,Yes,0.1217390550000061,0.3285209667142882,0.3426818399999973
185,185,constitución,2500,1,d,Yes,0.0528915670000031,0.04928159657143576,0.0449865780000209
186,186,constitución,2500,2,d,Yes,0.0542635560000093,0.05656268042857154,0.0542635560000093
187,187,constitución,2500,4,d,Yes,0.0545014570000006,0.14543922485713828,0.1647422510000002
188,188,constitución,2500,5,d,Yes,0.058039100000002,0.2068075802857216,0.2337970100000177
189,189,constitución,2500,7,d,Yes,0.1072900930000031,0.29795511571428845,0.3058405790000051
190,190,constitución,2500,1,l,Yes,0.0534811440000027,0.049144528142858544,0.0452049009999768
191,191,constitución,2500,2,l,Yes,0.0516379790000058,0.05049899814285539,0.0453123169999969
192,192,constitución,2500,4,l,Yes,0.0528455809999997,0.06666967071428963,0.0657183129999996
193,193,constitución,2500,5,l,Yes,0.0530911019999962,0.07583461399999906,0.0752121149999993
194,194,constitución,2500,7,l,Yes,0.0606431129999975,0.0884801364285814,0.0867200220000086
195,195,constitución,2500,1,i,No,0.1217195699999962,0.09780499328572279,0.1058217490000288
196,196,constitución,2500,2,i,No,0.1501668280000103,0.12324766771428787,0.1143539960000055
197,197,constitución,2500,4,i,No,0.2223277230000064,0.1564911132857109,0.1470974649999945
198,198,constitución,2500,5,i,No,0.2953708929999976,0.16575041271427887,0.1460404950000011
199,199,constitución,2500,7,i,No,0.2926524239999963,0.16207079814285685,0.135351925000009
200,200,constitución,2500,1,d,No,0.1249470180000003,0.09535192114286073,0.0978587399999995
201,201,constitución,2500,2,d,No,0.1489738230000057,0.12861248514286527,0.1335843160000251
202,202,constitución,2500,4,d,No,0.2205264939999978,0.15708680542857395,0.1673525969999971
203,203,constitución,2500,5,d,No,0.2895251879999989,0.16163924185714312,0.1337797969999883
204,204,constitución,2500,7,d,No,0.2935363299999949,0.1621737037142877,0.1350942380000219
205,205,constitución,2500,1,l,No,0.1227489319999932,0.09597011199999954,0.1008199760000039
206,206,constitución,2500,2,l,No,0.1560672840000023,0.12687865699999565,0.1156363319999798
207,207,constitución,2500,4,l,No,0.2173598030000079,0.1552885855714284,0.1601828229999995
